x;y;type;id;id3;n.WTG;id.WF;NATCODE;municipio;CODNUT1;CODNUT2;CODNUT3;provincia;tags.generator.source;tags.power;tags.power_source;tags.generator.output.electricity;tags.name;tags.operator;tags.source;tags.generator.method;tags.generator.type;tags.type;tags.ref;tags.is_in;tags.description;tags.source.date;tags.building;tags.natural;tags.man_made;tags.name.en;tags.name.fr;tags.wikidata;tags.wikipedia;tags.frequency;tags.generator.plant;tags.start_date;tags.ele;tags.fixme;tags.generator.output;tags.highway
-1.8510895;42.412673;node;26506380;026506;1;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.8571693;42.4098467;node;26536267;026536;1;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.7330358;42.4374224;node;27297716;027297;2;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.7564047;42.4420749;node;27297819;027297;2;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.7816801;42.441444;node;27311692;027311;1;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.8201372;42.3150194;node;29558405;029558;1;;34153131107;Funes;ES2;ES22;ES220;Navarra;wind;generator;wind;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-2.1190168;41.8410847;node;256702483;256702;2;;34074242188;Trévago;ES4;ES41;ES417;Soria;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-2.1343404;41.8389488;node;256702865;256702;2;;34074242188;Trévago;ES4;ES41;ES417;Soria;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.8636476;42.345424;node;262485154;262485;1;;34153131202;Peralta/Azkoien;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.7254284;42.432385;node;262622160;262622;3;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.72704;42.4324153;node;262622162;262622;3;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.7285001;42.432482;node;262622164;262622;3;;34153131104;Falces;ES2;ES22;ES220;Navarra;wind;generator;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.8294069;42.3174518;node;277643787;277643;3;;34153131202;Peralta/Azkoien;ES2;ES22;ES220;Navarra;wind;generator;wind;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.8277086;42.3179016;node;277643792;277643;3;;34153131107;Funes;ES2;ES22;ES220;Navarra;wind;generator;wind;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-1.8268032;42.3187656;node;277643796;277643;3;;34153131107;Funes;ES2;ES22;ES220;Navarra;wind;generator;wind;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
